iter	Logloss
0	0.6308413188
1	0.5711306254
2	0.5282018026
3	0.4780149778
4	0.4393949509
5	0.3979159673
6	0.3709108988
7	0.3372024536
8	0.3136863708
9	0.2941591581
10	0.2702459971
11	0.254748408
12	0.2395778338
13	0.2277521769
14	0.2084390481
15	0.1980894883
16	0.1816779931
17	0.172194322
18	0.1627794107
19	0.1516857465
20	0.1434386571
21	0.1343923251
22	0.1286193689
23	0.1247668266
24	0.1196329435
25	0.1143597285
26	0.1110697428
27	0.1049628496
28	0.101614205
29	0.0970950524
30	0.09601537387
31	0.09412894249
32	0.09119151433
33	0.08729311625
34	0.08263888359
35	0.07993104458
36	0.07677412828
37	0.07260635694
38	0.07028675874
39	0.0686958154
40	0.06750566165
41	0.06713673274
42	0.06504952113
43	0.06261543433
44	0.06208241383
45	0.05932085514
46	0.05860153039
47	0.05797707637
48	0.05740145048
49	0.05712430477
50	0.05665147305
51	0.05619956652
52	0.05473994017
53	0.05404663086
54	0.05363690058
55	0.05138119857
56	0.05099801222
57	0.05066629251
58	0.04983325005
59	0.04910703897
60	0.04882334073
61	0.0472383976
62	0.04571682612
63	0.04539006551
64	0.04523617427
65	0.04489900271
66	0.04459746679
67	0.04305540323
68	0.04285311699
69	0.04195965131
70	0.04154771169
71	0.04049280485
72	0.03938909372
73	0.03810414473
74	0.03768805663
75	0.0363312006
76	0.03606510162
77	0.03596297105
78	0.03574779034
79	0.03467678229
80	0.03373884757
81	0.03356772661
82	0.03279246887
83	0.03192706307
84	0.03100014925
85	0.03082880974
86	0.03073058327
87	0.02996529341
88	0.02917073965
89	0.02847400109
90	0.02839972576
91	0.02787332137
92	0.02779096762
93	0.02762835423
94	0.02746512095
95	0.02689724167
96	0.02605776588
97	0.02595134775
98	0.02526866794
99	0.02461459637
100	0.02451287905
101	0.02409044504
102	0.02356370687
103	0.02308682402
104	0.02249487241
105	0.02239450018
106	0.02184600035
107	0.02144723336
108	0.02098438342
109	0.02089663545
110	0.02040507396
111	0.02034073671
112	0.02000795404
113	0.01965605418
114	0.0196138223
115	0.01954627434
116	0.01924785773
117	0.01917761962
118	0.01910710533
119	0.01904909213
120	0.01872492631
121	0.01828178366
122	0.01788857381
123	0.01766499281
124	0.01741343737
125	0.01714727084
126	0.0170793434
127	0.01681659023
128	0.01657503545
129	0.01650860012
130	0.01644910773
131	0.01620534062
132	0.01614843408
133	0.01591531138
134	0.01568615238
135	0.01563062072
136	0.01557755768
137	0.01537941893
138	0.01518892149
139	0.0149216036
140	0.01488455633
141	0.01467162371
142	0.01450046698
143	0.01435548862
144	0.01421027382
145	0.01416694621
146	0.01402249138
147	0.01388652225
148	0.01374524037
149	0.01360296011
150	0.01347514391
151	0.01335527102
152	0.01323764424
153	0.01310208539
154	0.01296904087
155	0.01283356051
156	0.01270874937
157	0.01258349021
158	0.01245992184
159	0.01234100262
160	0.01222299139
161	0.01210689445
162	0.01198896269
163	0.0118836383
164	0.01177325249
165	0.01167171498
166	0.01156075001
167	0.01145651142
168	0.01135602693
169	0.01125665506
170	0.01115837296
171	0.01106058955
172	0.01096528471
173	0.01087082922
174	0.01077834169
175	0.01075201432
176	0.01066125333
177	0.0105728219
178	0.01048388481
179	0.01039606531
180	0.01031103134
181	0.01022692919
182	0.01014431516
183	0.01006352703
184	0.009983854493
185	0.009971841176
186	0.009893204768
187	0.009816082319
188	0.009739536047
189	0.009664358695
190	0.009590806564
191	0.009518057108
192	0.009446314971
193	0.009435700377
194	0.009365000327
195	0.009295765559
196	0.009227269888
197	0.009159780542
198	0.009093388915
199	0.009027489026
